Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,InChI,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,
"L-Alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine","C18H31N5O9",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H31N5O9/c1-8(19)14(25)22-11(17(29)30)5-3-4-10(16(27)28)21-13(24)7-6-12(18(31)32)23-15(26)9(2)20/h8-12H,3-7,19-20H2,1-2H3,(H,21,24)(H,22,25)(H,23,26)(H,27,28)(H,29,30)(H,31,32)",,,,,,,,,,
"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate","C18H31N5O9",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H31N5O9/c1-8(19)14(25)22-11(17(29)30)5-3-4-10(16(27)28)21-13(24)7-6-12(18(31)32)23-15(26)9(2)20/h8-12H,3-7,19-20H2,1-2H3,(H,21,24)(H,22,25)(H,23,26)(H,27,28)(H,29,30)(H,31,32)",,,,,,,,,,
"Maltohexaose","C36H62O31",0.00000,"[M+H]+","[M-H]-","InChI=1S/C36H62O31/c37-1-7-13(43)14(44)21(51)32(58-7)64-27-9(3-39)60-34(23(53)16(27)46)66-29-11(5-41)62-36(25(55)18(29)48)67-30-12(6-42)61-35(24(54)19(30)49)65-28-10(4-40)59-33(22(52)17(28)47)63-26-8(2-38)57-31(56)20(50)15(26)45/h7-56H,1-6H2/t7-,8-,9-,10-",,,,,,,,,,
"Maltopentaose","C27H48O26",0.00000,"[M+H]+","[M-H]-","InChI=1S/C27H48O26/c28-1-5(32)8(33)23(45-4-31)53-25-16(41)11(36)19(7(3-30)47-25)49-27-17(42)12(37)20(22(44)52-27)50-24-15(40)10(35)18(6(2-29)46-24)48-26-14(39)9(34)13(38)21(43)51-26/h5-44H,1-4H2",,,,,,,,,,
"Menaquinol 8","C51H74O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C51H74O2/c1-38(2)20-13-21-39(3)22-14-23-40(4)24-15-25-41(5)26-16-27-42(6)28-17-29-43(7)30-18-31-44(8)32-19-33-45(9)36-37-47-46(10)50(52)48-34-11-12-35-49(48)51(47)53/h11-12,20,22,24,26,28,30,32,34-36,52-53H,13-19,21,23,25,27,29,31,33,37H2,1-10H3/",,,,,,,,,,
"Molybdate","H2MoO4",0.00000,"[M+H]+","[M-H]-","InChI=1S/Mo.2H2O.2O/h;2*1H2;;/q+2;;;;/p-2",,,,,,,,,,
"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid","C19H30N2O12",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H30N2O12/c1-6(17(27)28)30-16-12(21-8(3)24)18-29-5-10(32-18)15(16)33-19-11(20-7(2)23)14(26)13(25)9(4-22)31-19/h6,9-16,18-19,22,25-26H,4-5H2,1-3H3,(H,20,23)(H,21,24)(H,27,28)/t6?,9-,10?,11-,12?,13-,14-,15?,16?,18?,19+/m1/s1",,,,,,,,,,
"Nitrous oxide","N2O",0.00000,"[M+H]+","[M-H]-","InChI=1S/N2O/c1-2-3",,,,,,,,,,
"Octadecanoyl-phosphate (n-C18:0)","C18H35O5P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H37O5P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)23-24(20,21)22/h2-17H2,1H3,(H2,20,21,22)/p-2",,,,,,,,,,
"Octadecanoyl-phosphate (n-C18:1)","C18H33O5P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H35O5P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)23-24(20,21)22/h9-10H,2-8,11-17H2,1H3,(H2,20,21,22)/p-2/b10-9-",,,,,,,,,,
"PG(12:0/12:0)","C30H59O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H59O10P/c1-3-5-7-9-11-13-15-17-19-21-29(33)37-25-28(26-39-41(35,36)38-24-27(32)23-31)40-30(34)22-20-18-16-14-12-10-8-6-4-2/h27-28,31-32H,3-26H2,1-2H3,(H,35,36)/t27-,28+/m0/s1",,,,,,,,,,
"PG(14:1(7Z)/14:1(7Z))","C34H63O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H63O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-33(37)41-29-32(30-43-45(39,40)42-28-31(36)27-35)44-34(38)26-24-22-20-18-16-14-12-10-8-6-4-2/h13-16,31-32,35-36H,3-12,17-30H2,1-2H3,(H,39,40)/b15-13-,16-14-/t31-,32+/m0/s1",,,,,,,,,,
"PG(18:0/18:0)","C42H83O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C42H83O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-41(45)49-37-40(38-51-53(47,48)50-36-39(44)35-43)52-42(46)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h39-40,43-44H,3-38H2,1-2H3,(H,47,48)/t39-,40-/m1/s1",,,,,,,,,,
"PGP(12:0/12:0)","C30H60O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H60O13P2/c1-3-5-7-9-11-13-15-17-19-21-29(32)39-25-28(43-30(33)22-20-18-16-14-12-10-8-6-4-2)26-42-45(37,38)41-24-27(31)23-40-44(34,35)36/h27-28,31H,3-26H2,1-2H3,(H,37,38)(H2,34,35,36)/t27-,28-/m1/s1",,,,,,,,,,
"PGP(14:0/14:0)","C34H68O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H68O13P2/c1-3-5-7-9-11-13-15-17-19-21-23-25-33(36)43-29-32(30-46-49(41,42)45-28-31(35)27-44-48(38,39)40)47-34(37)26-24-22-20-18-16-14-12-10-8-6-4-2/h31-32,35H,3-30H2,1-2H3,(H,41,42)(H2,38,39,40)/t31-,32-/m1/s1",,,,,,,,,,
"PGP(14:1(7Z)/14:1(7Z))","C34H64O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H64O13P2/c1-3-5-7-9-11-13-15-17-19-21-23-25-33(36)43-29-32(30-46-49(41,42)45-28-31(35)27-44-48(38,39)40)47-34(37)26-24-22-20-18-16-14-12-10-8-6-4-2/h13-16,31-32,35H,3-12,17-30H2,1-2H3,(H,41,42)(H2,38,39,40)/b15-13-,16-14-/t31-,32-/m1/s1",,,,,,,,,,
"PGP(16:0/16:0)","C38H76O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C38H76O13P2/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37(40)47-33-36(34-50-53(45,46)49-32-35(39)31-48-52(42,43)44)51-38(41)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h35-36,39H,3-34H2,1-2H3,(H,45,46)(H2,42,43,44)/t35-,36-/m1/s1",,,,,,,,,,
"PGP(16:1(9Z)/16:1(9Z))","C38H72O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C38H72O13P2/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37(40)47-33-36(34-50-53(45,46)49-32-35(39)31-48-52(42,43)44)51-38(41)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h13-16,35-36,39H,3-12,17-34H2,1-2H3,(H,45,46)(H2,42,43,44)/b15-13-,16-14-/t35-,36-/",,,,,,,,,,
"PGP(18:0/18:0)","C42H84O13P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C42H84O13P2/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-41(44)51-37-40(38-54-57(49,50)53-36-39(43)35-52-56(46,47)48)55-42(45)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h39-40,43H,3-38H2,1-2H3,(H,49,50)(H2,46,47,48)/t39-,40-/m1/s1",,,,,,,,,,
"Phosphotyrosine","C9H12NO6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H12NO6P/c10-8(9(11)12)5-6-1-3-7(4-2-6)16-17(13,14)15/h1-4,8H,5,10H2,(H,11,12)(H2,13,14,15)/t8-/m0/s1",,,,,,,,,,
"Propanal","C3H6O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",,,,,,,,,,
"Reduced riboflavin","C15H16N4O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H16N4O6/c20-6-10(22)12(23)9(21)5-19-8-4-2-1-3-7(8)16-11-13(19)17-15(25)18-14(11)24/h1-4,9-10,12,20-23H,5-6H2,(H,18,24,25)/t9-,10-,12-/m1/s1",,,,,,,,,,
"S-Adenosyl-4-methylthio-2-oxobutanoate","C15H20N5O6S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H19N5O6S/c1-27(3-2-7(21)15(24)25)4-8-10(22)11(23)14(26-8)20-6-19-9-12(16)17-5-18-13(9)20/h5-6,8,10-11,14,22-23H,2-4H2,1H3,(H2-,16,17,18,24,25)/p+1/t8-,10-,11-,14-,27?/m1/s1",,,,,,,,,,
"Selenodiglutathione","C20H32N6O12S2Se",0.00000,"[M+H]+","[M-H]-","InChI=1S/C20H32N6O12S2Se/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-41-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)/t9-,10-,11-,12-/m0/s1",,,,,,,,,,
"Superoxide anion","O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/HO2/c1-2/h1H/p-1",,,,,,,,,,
"Tetradecanoyl-phosphate (n-C14:0)","C14H27O5P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H29O5P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)19-20(16,17)18/h2-13H2,1H3,(H2,16,17,18)/p-2",,,,,,,,,,
"Tetrahydromonapterin","C9H15N5O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H15N5O4/c10-9-13-7-5(8(18)14-9)12-3(1-11-7)6(17)4(16)2-15/h3-4,6,12,15-17H,1-2H2,(H4,10,11,13,14,18)/t3?,4-,6-/m0/s1",,,,,,,,,,
"Thiocyanate","CNS",0.00000,"[M+H]+","[M-H]-","InChI=1S/CHNS/c2-1-3/h3H/p-1",,,,,,,,,,
"UDP-4-Keto-pyranose","C14H18N2O16P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H20N2O16P2/c17-5-3-28-13(11(22)8(5)19)31-34(26,27)32-33(24,25)29-4-6-9(20)10(21)12(30-6)16-2-1-7(18)15-14(16)23/h1-2,6,8-13,19-22H,3-4H2,(H,24,25)(H,26,27)(H,15,18,23)/p-2/t6-,8+,9-,10-,11-,12?,13-/m1/s1",,,,,,,,,,
"Acyl phosphatidylglycerol (N-C16:1)","C54H98O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C54H99O11P/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-52(56)61-46-50(55)47-63-66(59,60)64-49-51(65-54(58)45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)48-62-53(57)44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h19-24,50-51,55H,4-18,25-49H2,1-3H3,(H,59,60)",,,,,,,,,,
"Arsenite","H3AsO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/AsH3O3/c2-1(3)4/h2-4H",,,,,,,,,,
"Butanesulfonate","C4H9O3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H10O3S/c1-2-3-4-8(5,6)7/h2-4H2,1H3,(H,5,6,7)/p-1",,,,,,,,,,
"Crotonobetaine","C7H13NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H13NO2/c1-8(2,3)6-4-5-7(9)10/h4-5H,6H2,1-3H3/b5-4+",,,,,,,,,,
"dADP","C10H15N5O9P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H15N5O9P2/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(23-7)2-22-26(20,21)24-25(17,18)19/h3-7,16H,1-2H2,(H,20,21)(H2,11,12,13)(H2,17,18,19)/t5-,6+,7?/m0/s1",,,,,,,,,,
"dTDP-4-Dehydro-6-deoxy-L-mannose","C16H24N2O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C16H24N2O15P2/c1-6-4-18(16(24)17-14(6)23)10-3-8(19)9(31-10)5-29-34(25,26)33-35(27,28)32-15-13(22)12(21)11(20)7(2)30-15/h4,7-10,12-13,15,19,21-22H,3,5H2,1-2H3,(H,25,26)(H,27,28)(H,17,23,24)/t7-,8-,9+,10+,12+,13+,15?/m0/s1",,,,,,,,,,
"Dehydroglycine","C2H2NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H3NO2/c3-1-2(4)5/h1,3H,(H,4,5)/p-1",,,,,,,,,,
"Ethanesulfonate","C20H22N4O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C20H22N4O5/c1-24(2)17(25)12-28-18(26)11-13-3-9-16(10-4-13)29-19(27)14-5-7-15(8-6-14)23-20(21)22/h3-10H,11-12H2,1-2H3,(H4,21,22,23)",,,,,,,,,,
"ferric 2,3-dihydroxybenzoylserine","C10H11FeNO6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H11NO6.Fe/c12-4-6(10(16)17)11-9(15)5-2-1-3-7(13)8(5)14;/h1-3,6,12-14H,4H2,(H,11,15)(H,16,17);/t6-;/m0./s1",,,,,,,,,,
"gamma-Glutamyl-gamma-butyraldehyde","C9H16N2O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H16N2O4/c10-8(9(14)15)2-1-7(13)3-4-11-5-6-12/h6,8,11H,1-5,10H2,(H,14,15)",,,,,,,,,,
"Glycogen","C24H42O21",0.00000,"[M+H]+","[M-H]-","InChI=1S/C24H42O21/c25-1-5-9(28)11(30)16(35)22(41-5)39-4-8-20(45-23-17(36)12(31)10(29)6(2-26)42-23)14(33)18(37)24(43-8)44-19-7(3-27)40-21(38)15(34)13(19)32/h5-38H,1-4H2/t5-,6-,7-,8-,9-,10-,11+,12+,13-,14-,15-,16-,17-,18-,19-,20-,21+,22+,23-,24-/m1/s1",,,,,,,,,,
"Methanesulfonate","CH3O3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)/p-1",,,,,,,,,,
"Octadecanoate (N-C18:0)","C18H35O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)/p-1",,,,,,,,,,
"Octadecenoate (N-C18:1)","C18H33O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/p-1/b10-9+",,,,,,,,,,
"p-Cresol","C7H8O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",,,,,,,,,,
"Selenite","O3Se",0.00000,"[M+H]+","[M-H]-","InChI=1S/H2O3Se/c1-4(2)3/h(H2,1,2,3)/p-2",,,,,,,,,,
"Sn-Glycero-3-phospho-1-inositol","C9H19O11P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H19O11P/c10-1-3(11)2-19-21(17,18)20-9-7(15)5(13)4(12)6(14)8(9)16/h3-16H,1-2H2,(H,17,18)/t3-,4-,5-,6+,7-,8-,9-/m1/s1",,,,,,,,,,
"Sulfoacetate","C2H4O5S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H4O5S/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H,5,6,7)",,,,,,,,,,
"tetradecanoate (n-C14:0)","C14H27O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/p-1",,,,,,,,,,
"Tetradecenoate (N-C14:1)","C14H25O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2H,1,3-13H2,(H,15,16)/p-1",,,,,,,,,,
"Uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose","C14H22N3O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H23N3O15P2/c15-5-3-28-13(11(22)8(5)19)31-34(26,27)32-33(24,25)29-4-6-9(20)10(21)12(30-6)17-2-1-7(18)16-14(17)23/h1-2,5-6,8-13,19-22H,3-4,15H2,(H,24,25)(H,26,27)(H,16,18,23)/p-1/t5-,6+,8-,9+,10+,11+,12+,13+/m0/s1",,,,,,,,,,
"Uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose","C15H21N3O16P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H23N3O16P2/c19-5-16-6-3-30-14(12(24)9(6)21)33-36(28,29)34-35(26,27)31-4-7-10(22)11(23)13(32-7)18-2-1-8(20)17-15(18)25/h1-2,5-7,9-14,21-24H,3-4H2,(H,16,19)(H,26,27)(H,28,29)(H,17,20,25)/p-2/t6-,7+,9-,10+,11+,12+,13?,14+/m0/s1",,,,,,,,,,
"Ferric enterobactin","C30H33FeN3O15",0.00000,"[M+H]+","[M-H]-","InChI=1S/C30H33N3O15.Fe/c34-19-7-1-4-13(22(19)37)25(40)31-16-10-46-29(44)18(33-27(42)15-6-3-9-21(36)24(15)39)12-48-30(45)17(11-47-28(16)43)32-26(41)14-5-2-8-20(35)23(14)38;/h1-9,16-18,28-30,34-39,43-45H,10-12H2,(H,31,40)(H,32,41)(H,33,42);",,,,,,,,,,
"L-Idonate","C6H12O7",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3+,4-,5+/m0/s1",,,,,,,,,,
"Inorganic phosphate","H3O4P",0.00000,"[M+H]+","[M-H]-","InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)",,,,,,,,,,
"Deoxycholic acid","C24H40O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1",,,,,,,,,,
"Molybdenum","Mo",0.00000,"[M+H]+","[M-H]-","InChI=1S/Mo/q+2",,,,,,,,,,
"Nickel","Ni",0.00000,"[M+H]+","[M-H]-","InChI=1S/Ni/q+2",,,,,,,,,,
"Lithium","Li",0.00000,"[M+H]+","[M-H]-","InChI=1S/Li/q+1",,,,,,,,,,
"Arsenate","H3AsO4",0.00000,"[M+H]+","[M-H]-","InChI=1S/AsH3O4/c2-1(3,4)5/h(H3,2,3,4,5)",,,,,,,,,,
"Fe3+","Fe",0.00000,"[M+H]+","[M-H]-","InChI=1S/Fe/q+3",,,,,,,,,,
"Citraconic acid","C5H6O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2-",,,,,,,,,,
"2-Phosphoglyceric acid","C3H7O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)",,,,,,,,,,
"Cholic acid","C24H40O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19?,20+,22+,23+,24-/m1/s1",,,,,,,,,,
"Glutaric acid","C5H8O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)",,,,,,,,,,
"Myristic acid","C14H28O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",,,,,,,,,,
"Stearic acid","C18H36O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",,,,,,,,,,
"N-Acetylglutamic acid","C7H11NO5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)",,,,,,,,,,
"Adenosine tetraphosphate","C10H17N5O16P4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H17N5O16P4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(28-10)1-27-33(21,22)30-35(25,26)31-34(23,24)29-32(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H,25,26)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"Mannitol 1-phosphate","C6H15O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H15O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3-11H,1-2H2,(H2,12,13,14)/t3-,4-,5-,6-/m1/s1",,,,,,,,,,
"Ubiquinone-1","C19H28O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H28O4/c1-12(2)8-7-9-13(3)10-11-15-14(4)16(20)18(22-5)19(23-6)17(15)21/h8,10,20-21H,7,9,11H2,1-6H3",,,,,,,,,,
"Palmitoleic acid","C16H30O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-",,,,,,,,,,
"Ubiquinol-6","C39H60O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C39H60O4/c1-28(2)16-11-17-29(3)18-12-19-30(4)20-13-21-31(5)22-14-23-32(6)24-15-25-33(7)26-27-35-34(8)36(40)38(42-9)39(43-10)37(35)41/h16,18,20,22,24,26,40-41H,11-15,17,19,21,23,25,27H2,1-10H3/b29-18+,30-20+,31-22+,32-24+,33-26+",,,,,,,,,,
"Pyrroloquinoline quinone","C14H6N2O8",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H6N2O8/c17-10-4-2-6(14(23)24)15-8(4)7-3(12(19)20)1-5(13(21)22)16-9(7)11(10)18/h1-2,15H,(H,19,20)(H,21,22)(H,23,24)",,,,,,,,,,
"1,2-Dioctadecanoyl-sn-glycerol","C39H76O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C39H76O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h37,40H,3-36H2,1-2H3/t37-/m0/s1",,,,,,,,,,
"1-(2-Carboxyphenylamino)-1'-deoxyribulose-5'-phosphate","C12H13NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H16NO9P/c14-9(11(16)10(15)6-22-23(19,20)21)5-13-8-4-2-1-3-7(8)12(17)18/h1-4,10-11,13,15-16H,5-6H2,(H,17,18)(H2,19,20,21)/p-3",,,,,,,,,,
"1-Hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate","C5H9O8P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H12O8P2/c1-5(4-6)2-3-12-15(10,11)13-14(7,8)9/h2,6H,3-4H2,1H3,(H,10,11)(H2,7,8,9)/p-3/b5-2+",,,,,,,,,,
"2,3-Dihydroxyisovaleric acid","C5H10O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H10O4/c1-5(2,9)3(6)4(7)8/h3,6,9H,1-2H3,(H,7,8)",,,,,,,,,,
"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine","C7H9N5O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H9N5O2/c8-7-11-5-4(6(14)12-7)10-3(2-13)1-9-5/h13H,1-2H2,(H4,8,9,11,12,14)",,,,,,,,,,
"3-Hydroxymyristic acid","C14H28O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-13(15)12-14(16)17/h13,15H,2-12H2,1H3,(H,16,17)",,,,,,,,,,
"4-Amino-4-deoxy-L-arabinose","C14H23N3O15P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H23N3O15P2/c15-5-3-28-13(11(22)8(5)19)31-34(26,27)32-33(24,25)29-4-6-9(20)10(21)12(30-6)17-2-1-7(18)16-14(17)23/h1-2,5-6,8-13,19-22H,3-4,15H2,(H,24,25)(H,26,27)(H,16,18,23)/t5-,6+,8-,9+,10+,11+,12+,13+/m0/s1",,,,,,,,,,
"Margaric acid","C17H34O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)",,,,,,,,,,
"D-Threonine","C4H9NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3-/m1/s1",,,,,,,,,,
"Demethylmenaquinone-7","C45H62O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C45H62O2/c1-34(2)17-11-18-35(3)19-12-20-36(4)21-13-22-37(5)23-14-24-38(6)25-15-26-39(7)27-16-28-40(8)31-32-41-33-44(46)42-29-9-10-30-43(42)45(41)47/h9-10,17,19,21,23,25,27,29-31,33H,11-16,18,20,22,24,26,28,32H2,1-8H3/b35-19+,36-21+,37-23+,38-25+,",,,,,,,,,,
"Deoxycytidine 5'-phosphate","C9H13ClIN",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H12IN.ClH/c1-7(11)6-8-2-4-9(10)5-3-8;/h2-5,7H,6,11H2,1H3;1H",,,,,,,,,,
"Deoxycytidine 5'-triphosphate","C9H16N3O13P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H16N3O13P3/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(23-8)4-22-27(18,19)25-28(20,21)24-26(15,16)17/h1-2,5-6,8,13H,3-4H2,(H,18,19)(H,20,21)(H2,10,11,14)(H2,15,16,17)/t5-,6+,8-/m1/s1",,,,,,,,,,
"Heptadecenoic acid","C17H32O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C17H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h15-16H,2-14H2,1H3,(H,18,19)/b16-15+",,,,,,,,,,
"L-Histidinal","C6H10N3O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H9N3O/c7-5(3-10)1-6-2-8-4-9-6/h2-5H,1,7H2,(H,8,9)/p+1",,,,,,,,,,
